day,desktop,mobile,all
10/02/16,74.14909166840677,25.850908331593235,9578
10/09/16,74.01856615591097,25.98143384408903,8941
10/16/16,73.25038880248833,26.749611197511662,8359
10/23/16,74.31221342225928,25.687786577740724,9596
10/30/16,74.97372293462267,25.02627706537734,9514
11/06/16,74.7687717553456,25.231228244654403,10055
11/13/16,70.44661846022969,29.553381539770314,11755
11/20/16,74.19374430610387,25.80625569389614,16465
11/27/16,71.2374375732166,28.7625624267834,16219
12/04/16,73.57377889833768,26.42622110166232,23401
12/11/16,72.93615475433657,27.063845245663426,22022
12/18/16,72.29852555039386,27.70147444960614,19804
12/25/16,71.26092384519352,28.739076154806494,16020
01/01/17,69.99663827879874,30.003361721201255,17848
01/08/17,70.1862285493097,29.81377145069029,23251
01/15/17,71.13464083744435,28.86535916255565,24933
01/22/17,71.13893104029675,28.861068959703257,23724
01/29/17,72.2029802658075,27.797019734192506,24830
02/05/17,71.90745202292929,28.092547977070698,24074
02/12/17,72.52761477390403,27.472385226095962,23176
